,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],SinglePulse (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],SinglePulse (Mid1) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],SinglePulse (Mid2) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],SinglePulse (Mid5a) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],SinglePulse (Mid5b) []
"Channels predict, no-smear9",,,,,,,,,,,,,,19888.781652859445,71542.03610356698,19888.781652859445,22098.585247986757,22098.585247986757,22098.585247986757,30203.878424293223,,,,,,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,29953.914029246473,21835.096137712964,,,,,,19320.121038991805,38609.63236770124,19320.121038991805,29814.8348366946,29814.8348366946,29814.8348366946,54333.82327541498,,,,,,19462.498253264697,38894.16143309911,19462.498253264697,30034.551645878844,30034.551645878844,30034.551645878844,54734.22996993109,,,,
"Channels predict, no-smear10",,,,,,,,,,,,,,23504.823899465737,84549.57915900485,23504.823899465737,26116.409966266117,26116.409966266117,26116.409966266117,35695.392810509155,,,,,,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,35400.02416123361,25805.05756242697,,,,,,22832.814500189143,45629.5097061388,22832.814500189143,35235.65807922186,35235.65807922186,35235.65807922186,64212.64441466497,,,,,,23001.078107950136,45965.770956308144,23001.078107950136,35495.32302631758,35495.32302631758,35495.32302631758,64685.85195470918,,,,
"Channels predict, no-smear11",,,,,,,,,,,,,,27120.86614583087,97557.12221209386,27120.86614583087,30134.234684264968,30134.234684264968,30134.234684264968,41186.9071966738,,,,,,18906.090617660288,52894.984155741186,18906.090617660288,16338.63869792686,16338.63869792686,40846.13429392234,29775.01898739218,,,,,,26345.507961359923,52649.387045585485,26345.507961359923,40656.48132131802,40656.48132131802,40656.48132131802,74091.4655559558,,,,,,26539.657962409896,53037.380479699175,26539.657962409896,40956.09440622273,40956.09440622273,40956.09440622273,74637.47393780021,,,,
"Channels backward, no-smear0",(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined),(undefined),(undefined),(undefined),(undefined),904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,1005.0053854489457,1373.4278293411337,(undefined),(undefined),(undefined),(undefined),(undefined),630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,1361.8358133158226,992.7986277992072,(undefined),(undefined),(undefined),(undefined),(undefined),878.4803344221916,1755.2763217318097,878.4803344221916,1355.512792331873,1355.512792331873,1355.512792331873,2470.012277238968,(undefined),(undefined),(undefined),(undefined),(undefined),884.9539836067656,1768.2114187945754,884.9539836067656,1365.5018777230769,1365.5018777230769,1365.5018777230769,2488.214539298124,(undefined),(undefined),(undefined),(undefined)
"Channels backward, no-smear1",,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,,,,,,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1507.2335084877068,2059.86715195982,,,,,,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,2042.59958758406,1489.0438165150779,,,,,,1317.5670289686655,2632.760995049357,1317.5670289686655,2033.115705347188,2033.115705347188,2033.115705347188,3704.864923992691,,,,,,1327.2764773900503,2652.1626151975665,1327.2764773900503,2048.098308014086,2048.098308014086,2048.098308014086,3732.1672916129596,,,,
"Channels backward, no-smear2",,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,,,,,,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,2009.4616148571042,2746.3064623796045,,,,,,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,2723.3633579754173,1985.2889999151987,,,,,,1756.6537175567425,3510.2456653832655,1756.6537175567425,2710.7186144999496,2710.7186144999496,2710.7186144999496,4939.717568631215,,,,,,1769.5989651795082,3536.1138086001583,1769.5989651795082,2730.6947344207297,2730.6947344207297,2730.6947344207297,4976.1200417921455,,,,
"Channels backward, no-smear3",,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,,,,,,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,3013.917810920462,4119.185071013969,,,,,,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,4084.8908948860035,2977.7793613957497,,,,,,2634.8270887733916,5265.21500306821,2634.8270887733916,4065.9244289430007,4065.9244289430007,4065.9244289430007,7409.422855775241,,,,,,2654.2439347632017,5304.016192404592,2654.2439347632017,4095.8875833483976,4095.8875833483976,4095.8875833483976,7464.025540014693,,,,
"Channels backward, no-smear4",,37015.88183916187,26646.917775907757,37015.88183916187,13710.1984478155,13710.1984478155,13710.1984478155,26646.917775907757,,,,,,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,5022.83018303477,6864.942273636082,,,,,,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,6807.945964038775,4962.7600779759905,,,,,,4391.173824052722,8775.15367486393,4391.173824052722,6776.336053187005,6776.336053187005,6776.336053187005,12348.833427517198,,,,,,4423.533866735149,8839.820956417883,4423.533866735149,6826.273276550539,6826.273276550539,6826.273276550539,12439.836533920661,,,,
"Channels backward, no-smear5",,,,,,,,,,,,,,6328.623220362096,22763.7496469424,6328.623220362096,7031.742547520076,7031.742547520076,7031.742547520076,9610.699470687023,,,,,,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,9531.001031438836,6947.740792113483,,,,,,6147.520556611662,12285.09234525353,6147.520556611662,9486.74767567361,9486.74767567361,9486.74767567361,17288.243998358386,,,,,,6192.823795965634,12375.625719055834,6192.823795965634,9556.65896797004,9556.65896797004,9556.65896797004,17415.647526891702,,,,
"Channels backward, no-smear6",,,,,,,,,,,,,,9944.665471916558,35771.292703005485,9944.665471916558,11049.567270263373,11049.567270263373,11049.567270263373,15102.21386022389,,,,,,6932.428481437218,19395.02278134777,6932.428481437218,5991.0294435878495,5991.0294435878495,14977.111164731723,10917.702218412896,,,,,,9660.21401948799,19304.969684960284,9660.21401948799,14907.570919231697,14907.570919231697,14907.570919231697,27167.065139038263,,,,,,9731.403652177218,19447.235243184474,9731.403652177218,15017.430349348004,15017.430349348004,15017.430349348004,27367.269511822615,,,,
"Channels backward, no-smear7",,,,,,,,,,,,,,13560.707720387763,48778.83575805354,13560.707720387763,15067.391990198219,15067.391990198219,15067.391990198219,20593.728247660394,,,,,,9453.19945809229,26447.64622874797,9453.19945809229,8169.473497854613,8169.473497854613,20423.221297423315,14887.663643875816,,,,,,13172.90748135622,26324.847024362658,13172.90748135622,20328.394162114328,20328.394162114328,20328.394162114328,37045.88627931056,,,,,,13269.983507404142,26518.844766947794,13269.983507404142,20478.201730094595,20478.201730094595,20478.201730094595,37318.8914967592,,,,
"Channels backward, no-smear8",,,,,,,,,,,,,,16272.739405947037,58534.493049076,16272.739405947037,18080.76052947859,18080.76052947859,18080.76052947859,24712.36403777495,,,,,,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,24507.803896874604,17865.134712644343,,,,,,15807.427577515955,31589.7550285665,15807.427577515955,24394.011594153737,24394.011594153737,24394.011594153737,44455.00213509318,,,,,,15923.918398595604,31822.551909456844,15923.918398595604,24573.780265375666,24573.780265375666,24573.780265375666,44782.60798534446,,,,
"Channels backward, no-smear9",,,,,,,,,,,,,,19888.781652859445,71542.03610356698,19888.781652859445,22098.585247986757,22098.585247986757,22098.585247986757,30203.878424293223,,,,,,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,29953.914029246473,21835.096137712964,,,,,,19320.121038991805,38609.63236770124,19320.121038991805,29814.8348366946,29814.8348366946,29814.8348366946,54333.82327541498,,,,,,19462.498253264697,38894.16143309911,19462.498253264697,30034.551645878844,30034.551645878844,30034.551645878844,54734.22996993109,,,,
"Channels backward, no-smear10",,,,,,,,,,,,,,23504.823899465737,84549.57915900485,23504.823899465737,26116.409966266117,26116.409966266117,26116.409966266117,35695.392810509155,,,,,,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,35400.02416123361,25805.05756242697,,,,,,22832.814500189143,45629.5097061388,22832.814500189143,35235.65807922186,35235.65807922186,35235.65807922186,64212.64441466497,,,,,,23001.078107950136,45965.770956308144,23001.078107950136,35495.32302631758,35495.32302631758,35495.32302631758,64685.85195470918,,,,
"Channels backward, no-smear11",,,,,,,,,,,,,,27120.86614583087,97557.12221209386,27120.86614583087,30134.234684264968,30134.234684264968,30134.234684264968,41186.9071966738,,,,,,18906.090617660288,52894.984155741186,18906.090617660288,16338.63869792686,16338.63869792686,40846.13429392234,29775.01898739218,,,,,,26345.507961359923,52649.387045585485,26345.507961359923,40656.48132131802,40656.48132131802,40656.48132131802,74091.4655559558,,,,,,26539.657962409896,53037.380479699175,26539.657962409896,40956.09440622273,40956.09440622273,40956.09440622273,74637.47393780021,,,,
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,40.0,200.0,65536.0,(undefined),(undefined),(undefined),65536.0,200.0,40.0,200.0,200,200.0,40.0,200.0,65536.0,(undefined),(undefined),(undefined),65536.0,200.0,40.0,200.0,200,200.0,40.0,200.0,65536.0,(undefined),(undefined),(undefined),65536.0,200.0,40.0,200.0,200,200.0,40.0,200.0,65536.0,(undefined),(undefined),(undefined),65536.0,200.0,40.0,200.0,200,200.0,40.0,200.0,65536.0,(undefined),(undefined),(undefined)
Frequencies predict kernels0,(undefined),362.3494285920712,511.6591552951528,362.3494285921159,283.13724444040236,285.70668063757046,275.43510890676004,742.9674749733807,(undefined),(undefined),(undefined),(undefined),(undefined),240.55111728046495,288.96629213239663,240.55111728046495,246.72844731713064,246.72844731713064,246.72844731713064,424.82828438411,(undefined),(undefined),(undefined),(undefined),(undefined),130.5212706969548,162.1223555377206,130.5212706969548,128.67231012004186,128.67231012004186,171.47856556180633,234.23711921473773,(undefined),(undefined),(undefined),(undefined),(undefined),126.08903475458075,161.4205564350184,126.08903475458075,129.69541286661791,129.69541286661791,129.69541286661791,236.1026680943999,(undefined),(undefined),(undefined),(undefined),(undefined),126.1223389076825,162.4978319460019,126.1223389076825,127.63894919471589,127.63894919471589,127.63894919471589,232.3533241566573,(undefined),(undefined),(undefined),(undefined)
Frequencies predict kernels1,,362.3494285920712,512.317136997464,362.3494285921159,283.13724444040236,285.70668063757046,275.43510890676004,742.9674749733807,,,,,,254.25991648989043,289.3210998084684,254.25991648989043,264.9400543923313,264.9400543923313,264.9400543923313,439.85677968273035,,,,,,134.7932222286426,162.1721661191935,134.7932222286426,131.48010139262894,131.48010139262894,191.53788232094234,239.35398620502676,,,,,,127.22721328277636,161.4252084301567,127.22721328277636,133.73290329762565,133.73290329762565,133.73290329762565,243.46051644922966,,,,,,126.5984550037556,162.4997635477769,126.5984550037556,129.36445062092054,129.36445062092054,129.36445062092054,235.49784598566296,,,,
Frequencies predict kernels2,,362.3494285920712,517.5643890331957,362.3494285921159,283.13724444040236,285.70668063757046,275.43510890676004,742.9674749733807,,,,,,269.6289649781559,290.011566687786,269.6289649781559,285.0555805580128,285.0555805580128,271.09036005005487,457.0489379564752,,,,,,139.69250559424847,162.26919038128628,139.69250559424847,134.73485323671414,134.73485323671414,191.53788232094234,245.28538623985142,,,,,,128.56368836274743,161.43427011273235,128.56368836274743,138.37047684650835,138.37047684650835,138.37047684650835,251.9119459187978,,,,,,127.1604968345894,162.5035259247511,127.1604968345894,131.3813632978457,131.3813632978457,131.3813632978457,239.17343041961186,,,,
Frequencies predict kernels3,,362.3494285920712,557.966411514353,362.3494285921159,283.13724444040236,285.70668063757046,275.43510890676004,742.9674749733807,,,,,,295.8916100475848,292.83604652987657,295.89161006338117,286.25739284650433,306.4819515016619,271.09036005005487,495.8003204567129,,,,,,150.77739859544076,162.66762243126047,150.77739859544076,142.22313677098973,142.22313677098973,191.53788232094234,258.93189802691353,,,,,,131.70591694277,161.47151049392954,131.70591694277,148.88801923410836,148.88801923410836,148.88801923410836,271.07892569113386,,,,,,128.49457241776273,162.51898724561912,128.49457241776273,136.08620881044186,136.08620881044186,136.08620881044186,247.74745459270858,,,,
Frequencies predict kernels4,,362.3494285920712,691.9319662732792,362.3494285921159,283.13724444040236,285.70668063757046,275.43510890676004,742.9674749733807,,,,,,295.8916100475848,307.04166785720145,295.89161006338117,286.25739284650433,306.4819515016619,271.09036005005487,582.6884028497925,,,,,,173.0094895491759,164.7120249435197,173.00949191171654,154.36397353246642,159.64637048793557,191.53788232094234,290.683688142622,,,,,,139.35105377210064,161.66365705485006,139.35105377210064,157.23335616807472,172.7220952206755,155.28202258319277,314.51372559129345,,,,,,131.81247595646414,162.59877394390003,131.81247595646414,147.34038988282177,147.34038988282177,147.34038988282177,268.2568705332427,,,,
Frequencies predict kernels5,,,,,,,,,,,,,,295.8916100475848,336.6190863137124,295.89161006338117,286.25739284650433,306.4819515016619,271.09036005005487,674.5105633817117,,,,,,173.0094895491759,169.18334728164174,173.00949191171654,154.36397353246642,165.8425617613126,191.53788232094234,325.54662110528767,,,,,,148.21358954955093,162.09081037677407,148.21358954955093,157.23335616807472,180.26775553461124,155.28202258319277,360.89652584905605,,,,,,135.77931817864737,162.77628662001834,135.77931817864737,149.75357367378467,160.1046453233002,148.63725494806934,291.51822254504197,,,,
Frequencies predict kernels6,,,,,,,,,,,,,,295.8916100475848,447.42449934897166,295.89161006338117,286.25739284650433,306.4819515016619,271.09036005005487,859.6494393268804,,,,,,173.0094895491759,188.20008361879826,173.00949191171654,154.36397353246642,165.8425617613126,191.53788232094234,398.4907993726217,,,,,,168.0019101812513,164.01672409711088,168.0019101812513,157.23335616807472,180.26775553461124,155.28202258319277,455.3102263391026,,,,,,145.05246720533665,163.57961602975516,145.05246720533665,149.75357367378467,168.50224474247335,148.63725494806934,342.01089628315947,,,,
Frequencies predict kernels7,,,,,,,,,,,,,,295.8916100475848,617.6031736903359,295.89161006338117,286.25739284650433,306.4819515016619,271.09036005005487,1040.5488858258134,,,,,,173.0094895491759,222.60927011180002,173.00949191171654,154.36397353246642,165.8425617613126,191.53788232094234,471.86067718096956,,,,,,169.07734978771919,167.94076252626587,169.07734698219082,157.23335616807472,180.26775553461124,155.28202258319277,548.2191112459947,,,,,,155.50513165404786,165.23227105963232,155.50513165404786,149.75357367378467,168.50224474247335,148.63725494806934,394.48635917491623,,,,
Frequencies predict kernels8,,,,,,,,,,,,,,295.8916100475848,775.1714649613641,295.89161006338117,286.25739284650433,306.4819515016619,271.09036005005487,1172.460253153248,,,,,,173.0094895491759,258.11745921681444,173.00949191171654,154.36397353246642,165.8425617613126,191.53788232094234,526.1602146447549,,,,,,169.07734978771919,172.5494024465214,169.07734698219082,157.23335616807472,180.26775553461124,155.28202258319277,616.2049767922514,,,,,,163.839496947535,167.20041088596585,163.839496947535,149.75357367378467,168.50224474247335,148.63725494806934,434.04949147462236,,,,
Frequencies predict kernels9,,,,,,,,,,,,,,295.8916100475848,1017.0273949533794,295.89161006338117,286.25739284650433,306.4819515016619,271.09036005005487,1343.4543057715123,,,,,,173.0094895491759,316.6126818088863,173.00949191171654,154.36397353246642,165.8425617613126,191.53788232094234,597.2079512288419,,,,,,169.07734978771919,181.2621718342947,169.07734698219082,157.23335616807472,180.26775553461124,155.28202258319277,704.5231416875287,,,,,,175.37705561508142,170.9988103804333,175.37705561508142,149.75357367378467,168.50224474247335,148.63725494806934,486.4676733764402,,,,
Frequencies predict kernels10,,,,,,,,,,,,,,295.8916100475848,1289.666896670604,295.89161006338117,286.25739284650433,306.4819515016619,271.09036005005487,1509.3539282346544,,,,,,173.0094895491759,385.8324063441919,173.00949191171654,154.36397353246642,165.8425617613126,191.53788232094234,666.6362637792081,,,,,,169.07734978771919,193.1360783901114,169.07734698219082,157.23335616807472,180.26775553461124,155.28202258319277,790.3494168102039,,,,,,187.22422873306832,176.32933635996588,187.22422873306832,149.75357367378467,168.50224474247335,148.63725494806934,538.2106688780094,,,,
Frequencies predict kernels11,,,,,,,,,,,,,,295.8916100475848,1589.3536161361862,295.89161006338117,286.25739284650433,306.4819515016619,271.09036005005487,1670.7281680220358,,,,,,173.0094895491759,464.07502954171514,173.00949191171654,154.36397353246642,165.8425617613126,191.53788232094234,734.5012154452539,,,,,,169.07734978771919,208.239457220291,169.07734698219082,157.23335616807472,180.26775553461124,155.28202258319277,873.9253026617389,,,,,,199.2515960049101,183.34450272879002,199.2515960049101,149.75357367378467,168.50224474247335,148.63725494806934,589.1507137084474,,,,
