Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
"Channels total, no-smear",18320.11384684556,49462.65340286811,49462.65340286811,18320.11384684556,18320.11384684556,18320.11384684556,35606.9827446091,35606.9827446091,32046.381763758778,75334.76275845506,203402.925631113,203402.925631113,75334.76275845506,75334.76275845506,75334.76275845506,137288.40894903094,137288.40894903094,87801.4649224931
"Channels predict, no-smear0",1123.0200547686838,728.0592243433563,728.0592243433563,1123.0200547686838,674.2009154482648,674.2009154482648,2181.8409106014506,2181.8409106014506,1963.754084524924,2511.6897145573553,814.1586879068773,814.1586879068773,753.8913072681331,753.8913072681331,1005.0053854489457,686.9884579530388,4576.81127226378,2927.246459022404
"Channels predict, no-smear1",1626.7965167781667,1054.506449513207,1054.506449513207,1626.7965167781667,976.4668853257966,976.4668853257966,3161.0062248568347,3161.0062248568347,2845.002876807837,3767.259952131288,1220.9634817176923,1220.9634817176923,1130.5624189861267,1130.5624189861267,1507.2335084877068,1030.2081558361895,6864.942273636082,4390.595064095621
"Channels predict, no-smear2",2382.4611407963093,1544.177180900574,1544.177180900574,2382.4611407963093,1429.8657252918888,1429.8657252918888,4629.754160708587,4629.754160708587,4166.876025758605,5022.83018303477,1627.768254954736,1627.768254954736,1507.2335084877068,1507.2335084877068,2009.4616148571042,1373.4278293411337,9153.073271346264,5853.943663441757
"Channels predict, no-smear3",3458.7107104119405,2241.586938882596,2241.586938882596,3458.7107104119405,2075.6155109910283,2075.6155109910283,6721.607257574179,6721.607257574179,6049.543817415792,7533.970638170312,2441.3777808470027,2441.3777808470027,2260.575665262745,2260.575665262745,3013.917810920462,2059.86715195982,13729.335263104213,8780.640856407961
"Channels predict, no-smear4",5061.635568840222,3280.2822729956692,3280.2822729956692,5061.635568840222,3037.370456849887,3037.370456849887,9837.133129807215,9837.133129807215,8853.517105553552,12556.251540408359,4068.596807922735,4068.596807922735,3767.259952131288,3767.259952131288,5022.83018303477,3432.745767915875,22881.859242246133,14634.035235477146
"Channels predict, no-smear5",7374.427128148128,4778.971220927756,4778.971220927756,7374.427128148128,4425.045413284439,4425.045413284439,14332.391876912034,14332.391876912034,12899.249980086895,17578.532439633425,5695.815825583903,5695.815825583903,5273.94422883101,5273.94422883101,7031.742547520076,4805.624372714222,32034.383219760202,20487.429611910986
"Channels predict, no-smear6",10763.468209784225,6975.0698538862025,6975.0698538862025,10763.468209784225,6458.470076630774,6458.470076630774,20919.503696560292,20919.503696560292,18827.650619227432,27623.094235464625,8950.253853200655,8950.253853200655,8287.312773910124,8287.312773910124,11049.567270263373,7551.381573183239,50339.43117338024,32194.218362539585
"Channels predict, no-smear7",18320.113846845565,11871.776237515218,11871.776237515218,18320.113846845565,10992.457471761212,10992.457471761212,35606.98274460911,35606.98274460911,32046.381763758778,37667.65603029708,12204.691877411036,12204.691877411036,11300.681315299544,11300.681315299544,15067.391990198219,10297.138769598103,68644.47912648872,43901.00711260044
"Channels predict, no-smear8",,,,,,,,,,45201.07737624433,14645.520394671583,14645.520394671583,13560.707720387763,13560.707720387763,18080.76052947859,12356.456665854836,82373.26509018058,52681.09867435777
