,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
AW kernel support pred2 [uv-pixels],,13.138205938462706,13.138205938464186,9.850590902944816,10.708351962595456,10.539090285973792,,,13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,,,13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,,,12.329390050863536,,10.96433288666485,,9.895163279073545,,12.329390050863536,,10.040620453827982,,11.72178008017809,11.72178004111408,12.688257315562138,16.87113907479605,19.141864884666127,,10.338642966135247,10.54855181623988,10.70888341771913,10.83754472251522,15.035848503053796,,9.96574911247666,11.431242477350226,10.064833940803686,10.689321859939955,12.925125067755133,,10.96433288666485,,9.136844924374136,9.136844924374136,9.494613594945866,9.494613594945866,,11.497996684723134,11.956381562945573,11.139234680087231,14.348155895086997,,9.89787639758543,10.189049532180084,11.38830146101112,,10.100846084047484,10.698121682486045,9.723758235575398,9.311486913091306,,10.100846084047484,10.100846084047484,9.723758235575398,9.311486913091306,,11.787508925092617,11.787508925092617,12.376674717641372,9.723758235575398,,9.168201611167314,9.097626215012905,9.605494776784402,9.605494776784402,,9.168201611167314,9.168201611167314,9.605494776784402,9.605494776784402,,12.380747882234795,9.105744643184993,12.380747882213146,9.666955553558598,9.754983810357349,10.361481200743903,13.078825106087502,,,10.879071528620432,9.037296983642463,10.879071528620432,11.502778288115085,11.502778288115085,10.127706957994118,9.347098442566667,,,10.040620453827982,9.009333908287456,10.040620453827982,9.683494322318285,9.683494322318285,9.293822433100482,9.293822433100482,,,9.312749205923907,9.000986063371743,9.312749205923907,10.105859849234305,9.249008878863776,9.249008878863776,10.105859849234305,,,9.208357296449384,9.000653692422716,9.208357296449384,9.746231934145028,9.746231934145028,9.746231934145028,9.746231934145028,,,9.154882929295585,9.00048474014787,9.154882929295585,9.558505365600187,9.12311628805844,9.558505365600187,9.558505365600187,,,9.145380248695044,9.000232827156013,9.145380248695044,9.272006690817628,9.272006690817628,9.272006690817628,9.272006690817628,
AW kernel support pred3 [uv-pixels],,13.138205938462706,13.138205938464186,9.850590902944816,10.708351962595456,10.539090285973792,,,13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,,,13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,,,12.329390050863536,,12.37974623726862,,10.589762013558143,,12.329390050863536,,10.839124539888765,,11.72178008017809,11.72178004111408,12.688257315562138,16.87113907479605,19.141864884666127,,10.338642966135247,10.54855181623988,10.70888341771913,10.83754472251522,15.849376185814847,,9.96574911247666,11.431242477350226,10.064833940803686,10.689321859939955,12.925125067755133,,12.37974623726862,,9.250136522868353,9.250136522868353,9.891213893046556,9.891213893046556,,11.497996684723134,11.956381562945573,11.139234680087231,14.348155895086997,,9.89787639758543,10.189049532180084,11.38830146101112,,10.941762099057625,11.942502809540011,10.293079113523758,9.565298108435549,,10.941762099057625,10.941762099057625,10.293079113523758,9.565298108435549,,12.239202213731588,12.239202395222318,12.376674717641372,10.293079113523758,,9.307052891777763,9.178740181912406,10.08645841091152,10.08645841091152,,9.307052891777763,9.307052891777763,10.08645841091152,10.08645841091152,,12.380747882234795,9.817892850515804,12.380747882213146,9.666955553558598,9.754983810357349,10.361481200743903,13.078825106087502,,,11.940885116387925,9.125479817204852,11.940885097837711,11.55136823975056,12.369059179318718,10.98742787657206,9.62902950251871,,,10.839124539888765,9.03149727632098,10.839124539888765,10.222915325947607,10.222915325947607,9.53361991488264,9.53361991488264,,,9.56756014406888,9.003329235741274,9.56756014406888,10.950291072798677,9.453056897210786,9.453056897210786,10.950291072798677,,,9.379726517313768,9.002207007334723,9.379726517313768,10.332161818060753,10.332161818060753,10.332161818060753,10.332161818060753,,,9.282895837175275,9.00163655505113,9.282895837175275,10.00390218191688,9.225170619700588,10.00390218191688,10.00390218191688,,,9.265643869779009,9.000786016480939,9.265643869779009,9.494436583463855,9.494436583463855,9.494436583463855,9.494436583463855,
AW kernel support pred4 [uv-pixels],,13.138205938462706,13.138205938464186,9.850590902944816,10.708351962595456,10.539090285973792,,,13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,,,13.138205938462706,11.28748365186057,9.850590902944816,10.708351962595456,10.539090285973792,,,12.329390050863536,,14.230435051044683,,12.175657128551792,,12.329390050863536,,12.440621518797368,,11.72178008017809,11.72178004111408,12.688257315562138,16.87113907479605,19.141864884666127,,10.338642966135247,10.54855181623988,10.70888341771913,10.83754472251522,15.849376185814847,,,,,,,,14.230435051044683,,9.531047338017467,9.531047338017467,10.831916893408648,10.831916893408648,,11.497996684723134,11.956381562945573,11.139234680087231,14.348155895086997,,9.89787639758543,10.189049532180084,11.38830146101112,,12.83097337634745,13.80029130867468,11.413467984134563,10.18024775530373,,12.83097337634745,12.83097337634745,11.413467984302855,10.18024775530373,,12.239202213731588,12.239202395222318,12.376674717641372,11.612720198793768,,9.649837303757456,9.380995760938674,11.214120005967006,11.214120005967006,,9.649837303757456,9.649837303757456,11.214120005967006,11.214120005967006,,12.380747882234795,12.179243845367957,12.380747882213146,9.666955553558598,9.754983810357349,10.361481200743903,13.078825106087502,,,11.940885116387925,9.568992284448766,11.940885097837711,11.55136823975056,12.369059179318718,12.915088371190896,10.309139631220306,,,12.440621518797368,9.14522017109552,12.440621579930912,11.09748483921658,11.478004105623794,10.115898508362994,10.115898508362994,,,10.18483546196482,9.015418561858217,10.18483546196482,11.978547844845327,9.951372908247157,9.951372908247157,12.846698387919691,,,9.800485886115762,9.010222202780403,9.800485886115762,11.6874860591348,11.6874860591348,11.6874860591348,11.6874860591348,,,9.599507263788245,9.007580268056598,9.599507263788245,11.053202147446754,9.478710988692708,11.053202147446754,11.053202147446754,,,9.563484375877058,9.003640693176386,9.563484375877058,10.03603738974871,10.03603738974871,10.03603738974871,10.03603738974871,
AW kernel support pred5 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.230435051044683,,13.882142754365645,,,,12.440621518797368,,11.72178008017809,11.72178004111408,12.688257315562138,16.87113907479605,19.141864884666127,,,,,,,,,,,,,,14.230435051044683,,9.865409873876544,9.865409873876544,11.319636920430195,11.88792016658729,,11.497996684723134,11.956381562945573,11.139234680087231,14.348155895086997,,,,,,13.164852429237193,13.80029130867468,11.413467984134563,10.889183664098493,,13.164852429237193,13.164852429441703,11.413467984302855,10.889183664098493,,12.239202213731588,12.239202395222318,12.376674717641372,12.447606014092091,,10.055276726403948,9.62374453765626,11.404482196253026,12.462964727901614,,10.055276726403948,10.055276726403948,11.404482196253026,12.462964727901614,,,,,,,,,,,11.940885116387925,10.492426426517872,11.940885097837711,11.55136823975056,12.369059179318718,12.999613810336788,11.08877349166962,,,12.440621518797368,9.39394405979691,12.440621579930912,11.09748483921658,11.924349015864339,10.789121391666232,10.789121391666232,,,10.89630669721841,9.042288750263427,10.89630669721841,11.978547844845327,10.531957346238618,10.531957346238618,14.85389593000168,,,10.294336642643636,9.028047000909307,10.294336642643636,12.147738314169233,13.166073720242363,13.166073720242363,13.166073720242363,,,9.97498338519668,9.020801789745883,9.97498338519668,12.221716933324984,9.781358058991117,12.221716933324984,12.221716933324984,,,9.917378929981888,9.009992861205271,9.917378929981888,10.664536903206754,10.664536903206754,10.664536903206754,10.664536903206754,
AW kernel support pred6 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.230435051044683,,14.96969493130689,,,,12.440621518797368,,11.72178008017809,11.72178004111408,12.688257315562138,16.87113907479605,19.141864884666127,,,,,,,,,,,,,,14.230435051044683,,10.641492193636074,10.641492193636074,11.319636920430195,14.152190655007447,,11.497996684723134,11.956381562945573,11.139234680087231,14.348155895086997,,,,,,13.164852429237193,13.80029130867468,11.413467984134563,12.460349590731399,,13.164852429237193,13.164852429441703,11.413467984302855,12.460349590731399,,12.239202213731588,12.239202395222318,12.376674717641372,12.447606014092091,,10.987158425845902,10.194814172736017,11.404482196253026,15.10012851294242,,10.987158425845902,10.987158425845902,11.404482196253026,15.10012851294242,,,,,,,,,,,11.940885116387925,13.951874143866355,11.940885097837711,11.55136823975056,12.369059179318718,12.999613810336788,12.803895977439591,,,12.440621518797368,10.451778169189934,12.440621579930912,11.09748483921658,11.924349015864339,12.28693680062215,12.28693680062215,,,12.472663326263502,9.163339660174532,12.472663326263502,11.978547844845327,11.837352424030978,11.837352424030978,18.906556399253027,,,11.416481967502898,9.108544878557783,11.416481967502898,12.147738314169233,14.308873683148018,16.239203085489606,16.239203085489606,,,10.841511671779298,9.080583665410325,10.841511671779298,12.291308425724138,10.487028756062793,14.704419130949379,14.704419130949379,,,10.736543947837163,9.038764106253511,10.736543947837163,12.069858303787514,12.069858303787514,12.069858303787514,12.069858303787514,
AW kernel support pred7 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.230435051044683,,14.96969493130689,,,,12.440621518797368,,,,,,,,,,,,,,,,,,,,14.230435051044683,,11.508548641675068,11.508548641675068,11.319636920430195,16.478722897084165,,,,,,,,,,,13.164852429237193,13.80029130867468,11.413467984134563,14.126991609881342,,13.164852429237193,13.164852429441703,11.413467984302855,14.126991609881342,,12.239202213731588,12.239202395222318,12.376674717641372,12.447606014092091,,12.01605846395136,10.843780861816555,11.404482196253026,17.773464504351917,,12.01605846395136,12.01605846395136,11.404482196253026,17.773464504351917,,,,,,,,,,,11.940885116387925,19.26501173555068,11.940885097837711,11.55136823975056,12.369059179318718,12.999613810336788,14.609707792669338,,,12.440621518797368,12.365840561191177,12.440621579930912,11.09748483921658,11.924349015864339,13.882140256798081,13.882140256798081,,,13.001807089032651,9.409474453955937,13.001807165855965,11.978547844845327,13.243246948125556,13.243246948125556,22.870447827574708,,,12.639166431733038,9.273240772608291,12.639166431733038,12.147738314169233,14.308873683148018,19.313346631828853,19.313346631828853,,,11.802896473783427,9.203284847145458,11.802896473783427,12.291308425724138,11.279884615402956,17.234626905174537,17.234626905174537,,,11.648665796786966,9.09809524053618,11.648665796786966,12.577503163781971,13.574424223673388,13.574424223673388,13.574424223673388,
AW kernel support pred8 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.230435051044683,,14.96969493130689,,,,12.440621518797368,,,,,,,,,,,,,,,,,,,,14.230435051044683,,12.195124892626122,12.195124892626122,11.319636920430195,18.221077289659842,,,,,,,,,,,13.164852429237193,13.80029130867468,11.413467984134563,15.39958163654194,,13.164852429237193,13.164852429441703,11.413467984302855,15.39958163654194,,12.239202213731588,12.239202395222318,12.376674717641372,12.447606014092091,,12.823603497386214,11.364618539994243,11.404482196253026,19.760361228789172,,12.823603497386214,12.823603497386214,11.404482196253026,19.760361228789172,,,,,,,,,,,11.940885116387925,24.184442114749086,11.940885097837711,11.55136823975056,12.369059179318718,12.999613810336788,15.982057138130573,,,12.440621518797368,14.341037019571939,12.440621579930912,11.09748483921658,11.924349015864339,15.103332851634674,15.103332851634674,,,13.001807089032651,9.69772740661183,13.001807165855965,11.978547844845327,14.327512728069152,14.327512728069152,25.76233796747083,,,13.589723148969497,9.467808289401855,13.589723148969497,12.147738314169233,14.308873683148018,21.581824962333535,21.581824962333535,,,12.56016386311204,9.348909034387711,12.56016386311204,12.291308425724138,11.910454686145505,19.12072875502813,19.12072875502813,,,12.369082500248812,9.169006846481087,12.369082500248812,12.577503163781971,14.730198783392058,14.730198783392058,14.730198783392058,
AW kernel support pred9 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.230435051044683,,14.96969493130689,,,,12.440621518797368,,,,,,,,,,,,,,,,,,,,14.230435051044683,,13.139921008947882,13.139921008947882,11.319636920430195,20.51891563867256,,,,,,,,,,,13.164852429237193,13.80029130867468,11.413467984134563,17.101097153988437,,13.164852429237193,13.164852429441703,11.413467984302855,17.101097153988437,,12.239202213731588,12.239202395222318,12.376674717641372,12.447606014092091,,13.926668015859795,12.089819147093618,11.404482196253026,22.36734478764589,,13.926668015859795,13.926668015859795,11.404482196253026,22.36734478764589,,,,,,,,,,,11.940885116387925,31.735412541367545,11.940885097837711,11.55136823975056,12.369059179318718,12.999613810336788,17.810640287623773,,,12.440621518797368,17.59492234360183,12.440621579930912,11.09748483921658,11.924349015864339,16.739249792924937,16.739249792924937,,,13.001807089032651,10.240483885176074,13.001807165855965,11.978547844845327,15.788134334705195,15.788134334705195,29.5121710628882,,,14.878229522727478,9.838785600045993,14.878229522727478,12.147738314169233,14.308873683148018,24.54439997980787,24.54439997980787,,,13.597624745822229,9.6284824199026,13.597624745822229,12.291308425724138,12.781441399246743,21.600345675170715,21.600345675170715,,,13.358303472378545,9.306637143288484,13.358303472378545,12.577503163781971,16.282471944594793,16.282471944594793,16.282471944594793,
AW kernel support pred10 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.230435051044683,,14.96969493130689,,,,12.440621518797368,,,,,,,,,,,,,,,,,,,,14.230435051044683,,14.104494615213062,14.104494615213062,11.319636920430195,22.778583992530933,,,,,,,,,,,13.164852429237193,13.80029130867468,11.413467984134563,18.793608423806408,,13.164852429237193,13.164852429441703,11.413467984302855,18.793608423806408,,,,,,,15.045003343257887,12.838753666832492,11.404482196253026,24.920518130312384,,15.045003343257887,15.045003343257887,11.404482196253026,24.920518130312384,,,,,,,,,,,11.940885116387925,40.24747556765276,11.940885097837711,11.55136823975056,12.369059179318718,12.999613810336788,19.624225055388756,,,12.440621518797368,21.445374820275426,12.440621579930912,11.09748483921658,11.924349015864339,18.369180771564487,18.369180771564487,,,13.001807089032651,10.97618153992474,13.001807165855965,11.978547844845327,17.250504597536217,17.250504597536217,33.15111422588958,,,16.17545837743443,10.350319209954257,16.17545837743443,12.147738314169233,14.308873683148018,27.43517484722379,27.43517484722379,,,14.652363963318319,10.017791971955457,14.652363963318319,12.291308425724138,13.673873611745188,24.032607056174665,24.032607056174665,,,14.36615629162272,9.501448385674538,14.36615629162272,12.577503163781971,17.83251616123195,17.83251616123195,17.83251616123195,
AW kernel support pred11 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.230435051044683,,14.96969493130689,,,,12.440621518797368,,,,,,,,,,,,,,,,,,,,14.230435051044683,,15.079066711273494,15.079066711273494,11.319636920430195,24.997161188624275,,,,,,,,,,,13.164852429237193,13.80029130867468,11.413467984134563,20.469232000466125,,13.164852429237193,13.164852429441703,11.413467984302855,20.469232000466125,,,,,,,16.16857184418325,13.602777624321455,11.404482196253026,27.42002021221705,,16.16857184418325,16.16857184418325,11.404482196253026,27.42002021221705,,,,,,,,,,,11.940885116387925,49.60397856375254,11.940885097837711,11.55136823975056,12.369059179318718,12.999613810336788,21.41582783733785,,,12.440621518797368,25.797740119674547,12.440621579930912,11.09748483921658,11.924349015864339,19.9848241729486,19.98482428769972,,,13.001807089032651,11.906557431036713,13.001807165855965,11.978547844845327,18.705389849641314,18.705389738885582,36.691331915034965,,,17.47157775463497,11.009547883205187,17.47157775463497,12.147738314169233,14.308873683148018,30.257981307062998,30.257981208874398,,,15.714398550546449,10.525317001186599,15.714398550546449,12.291308425724138,14.578247836233036,26.416367560339754,26.416367511667133,,,15.382745009299276,9.76063125454579,15.382745009299276,12.577503163781971,19.37154915734196,19.371549116500564,19.37154906794868,
W kernel support bw0 [uv-pixels],(undefined),9.571439561604967,9.571439561607,4.0042653679769,5.802482378673971,5.483832971189689,(undefined),(undefined),9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,(undefined),(undefined),9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,(undefined),(undefined),8.426972114961146,(undefined),3.7164272408979873,(undefined),2.441851751211191,(undefined),8.426972114961146,(undefined),2.642686342213587,(undefined),5.649645803991846,5.649645803991846,8.943817624813025,10.866803766971284,10.866803766971284,(undefined),4.191029866420797,4.91134305180645,5.803463108722217,6.037580277935649,7.140737554884356,(undefined),3.879893526487583,7.047929098393096,4.5056500370039645,5.767287215441085,6.5284462493627435,(undefined),3.7164272408979873,(undefined),0.9360220723620901,0.9360220723620901,1.7962423836101467,1.7962423836101467,(undefined),6.320120134094014,7.871153668855971,6.56372982823471,8.682997729687902,(undefined),4.119218030388623,4.7766861283968804,6.978066363031237,(undefined),2.7222956626144104,3.4326543498973368,2.185902660662553,1.4186193080902967,(undefined),2.7222956626144104,2.7222956626144104,2.185902660662553,1.4186193080902967,(undefined),4.516331371942302,4.516331371942302,8.496003593825929,2.185902660662553,(undefined),1.038575106054563,0.7898066022424963,1.993187847782638,1.993187847782638,(undefined),1.038575106054563,1.038575106054563,1.993187847782638,1.993187847782638,(undefined),8.501936139695557,0.17264561380323334,8.501936139664029,3.528459957896282,3.762938896704808,5.134227563457751,9.489766390993237,(undefined),(undefined),3.627217935228502,0.2897375125625824,3.627217935228502,4.250412779826403,4.250412779826403,2.7572079624093724,1.498917538700556,(undefined),(undefined),2.642686342213587,0.144877327058177,2.642686342213587,2.1220005645786215,2.1220005645786215,1.377169759200297,1.377169759200297,(undefined),(undefined),1.4215378806907413,0.04709168979123122,1.4215378806907413,2.7288392139230275,1.26631956429386,1.26631956429386,2.7288392139230275,(undefined),(undefined),1.1571238228598055,0.03834324066260302,1.1571238228598055,2.2208807624565488,2.2208807624565488,2.2208807624565488,2.2208807624565488,(undefined),(undefined),0.996265678228778,0.03301898713103558,0.996265678228778,1.9119328783286214,0.8875171121722862,1.9119328783286214,1.9119328783286214,(undefined),(undefined),0.9649831853453109,0.022884533742185,0.9649831853453109,1.3243013022618904,1.3243013022618904,1.3243013022618904,1.3243013022618904,(undefined)
W kernel support bw1 [uv-pixels],,9.571439561604967,9.571439561607,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,8.426972114961146,,5.042530332267835,,3.3123202916503938,,8.426972114961146,,3.5849004142001593,,7.510001880696162,7.510001819724174,8.943817624813025,14.27008527238398,14.760010806960743,,5.087979793711627,5.501994676469408,5.803463108722217,6.037580277935649,9.694128376353719,,4.279737769166389,7.047929098393096,4.5056500370039645,5.767287215441085,8.862083998412457,,5.042530332267835,,1.2692209980431015,1.2692209980431015,2.436209957244668,2.436209957244668,,7.155691983442566,7.871153668855971,6.56372982823471,11.174505697780091,,4.119218030388623,4.7766861283968804,6.978066363031237,,3.6929543740178215,4.657252879088964,2.9649649350370177,1.9238666841737944,,3.6929543740178215,3.6929543740178215,2.9649649350370177,1.9238666841737944,,6.1287342405820615,6.1287342405820615,8.496003593825929,2.9649649350370177,,1.4083224565214292,1.0709087122848948,2.703448060721991,2.703448060721991,,1.4083224565214292,1.4083224565214292,2.703448060721991,2.703448060721991,,8.501936139695557,0.4886127695866622,8.501936139664029,3.528459957896282,3.762938896704808,5.134227563457751,9.489766390993237,,,4.921407531597079,0.5325104404867114,4.921407531597079,5.767610431797001,5.767610431797001,3.7403418662365673,2.032805280771404,,,3.5849004142001593,0.26622873645904577,3.5849004142001593,2.8782467508693417,2.8782467508693417,1.867634582261955,1.867634582261955,,,1.9278261732647402,0.08652404546433214,1.9278261732647402,3.701836085943349,1.7172557981159582,1.7172557981159582,3.701836085943349,,,1.5691287000865404,0.0704489033297653,1.5691287000865404,3.012432749101546,3.012432749101546,3.012432749101546,3.012432749101546,,,1.3509337192184103,0.06066588921005481,1.3509337192184103,2.5931895679169688,1.2034320101735507,2.5931895679169688,2.5931895679169688,,,1.3085027310468316,0.04204490424355305,1.3085027310468316,1.7959126023435839,1.7959126023435839,1.7959126023435839,1.7959126023435839,
W kernel support bw2 [uv-pixels],,9.571439561604967,9.571439561607,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,9.571439561604967,6.812289423609338,4.0042653679769,5.802482378673971,5.483832971189689,,,8.426972114961146,,6.26231551820893,,4.112694532727357,,8.426972114961146,,4.45129858556229,,7.510001880696162,7.510001819724174,8.943817624813025,14.27008527238398,16.894111141543203,,5.087979793711627,5.501994676469408,5.803463108722217,6.037580277935649,12.044780620948854,,4.279737769166389,7.047929098393096,4.5056500370039645,5.767287215441085,9.276791364319461,,6.26231551820893,,1.5754158727337388,1.5754158727337388,3.024514393639226,3.024514393639226,,7.155691983442566,7.871153668855971,6.56372982823471,11.174505697780091,,4.119218030388623,4.7766861283968804,6.978066363031237,,4.58553067960704,5.783580857330348,3.6812327043967707,2.388260566326599,,4.58553067960704,4.58553067960704,3.6812327043967707,2.388260566326599,,7.612185406250828,7.612185406250828,8.496003593825929,3.6812327043967707,,1.7481192130432452,1.329211325595005,3.356416229675997,3.356416229675997,,1.7481192130432452,1.7481192130432452,3.356416229675997,3.356416229675997,,8.501936139695557,1.3836854797576585,8.501936139664029,3.528459957896282,3.762938896704808,5.134227563457751,9.489766390993237,,,6.111808024213436,0.8202053221926542,6.111808024213436,7.1633726934686175,7.1633726934686175,4.6443996627123365,2.5235390417095203,,,4.45129858556229,0.409996915864168,4.45129858556229,3.5735223925939597,3.5735223925939597,2.318433828687325,2.318433828687325,,,2.3931773382756996,0.1332295500717633,2.3931773382756996,4.5965642922041265,2.1317047734855246,2.1317047734855246,4.5965642922041265,,,1.9477792737044373,0.10847530097995917,1.9477792737044373,3.740192095888701,3.740192095888701,3.740192095888701,3.740192095888701,,,1.676866556738406,0.09341069336365357,1.676866556738406,3.219475861721528,1.4937371942337203,3.219475861721528,3.219475861721528,,,1.6241859170739792,0.06473749312980329,1.6241859170739792,2.2293739198633458,2.2293739198633458,2.2293739198633458,2.2293739198633458,
