,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Delta W max8 [lambda],,,339.7739148317,6109.201967497032,17371.889607728768,160687.1658564194,,,,,,,,,,,,,,,,,,,,,,,,,65706.38536103899,27011.459287664024,26298.59956750995,,,,,,1924.4792105037693,814.9780259692651,683.1295039457942,2185.2929827961725,814.9780259692651,683.1295039457942,1924.4792105037693,814.9780259692651,683.1295039457942,31438.53723201585,16290.44059832574,12443.524895589053,31050.671980130443,16290.44059832574,12443.524895589053
Delta W max9 [lambda],,,415.2792292387444,7466.802404718594,21232.309520557385,196395.4249356237,,,,,,,,,,,,,,,,,,,,,,,,,80307.80433015877,33014.0057960338,32142.732804734384,,,,,,2352.1412572823847,996.0842539624351,996.0842150355509,2670.913645639766,996.0842539624351,996.0842150355509,2352.1412572823847,996.0842539624351,996.0842150355509,38424.878839130484,19910.538509064794,15208.752650164399,37950.82130904832,19910.538509064794,15208.752650164399
Delta W max10 [lambda],,,580.0180951467647,8824.402841940157,25092.729433386,232103.684014828,,,,,,,,,,,,,,,,,,,,,,,,,94909.22329927856,39016.55230440359,37986.86604195882,,,,,,2779.8033040610003,1391.2250606694886,1391.2250606694886,3156.53430848336,1391.2250606694886,1391.2250606694886,2779.8033040610003,1391.2250606694886,1391.2250606694886,45411.22044624512,23530.636419803846,17973.980404739745,44850.970637966195,23530.636419803846,17973.980404739745
Delta W max11 [lambda],,,772.2134402841542,10182.003279161718,28953.149346214617,267811.94309403235,,,,,,,,,,,,,,,,,,,,,,,,,109510.64226839833,45019.09881277337,43830.999279183256,,,,,,3207.4653508396154,1852.2227139090824,1852.2227139090824,3642.1549713269537,1852.2227139090824,1852.2227139090824,3207.4653508396154,1852.2227139090824,1852.2227139090824,52397.56205335975,27150.734330542902,20739.208159315087,51751.11996688407,27150.734330542902,20739.208159315087
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],0.5406548954868289,2.221279624249078,0.745140982357672,1.4955238591322022,0.6153742839918251,3.2733554054230094,0.8722593496981276,0.41701680184090323,0.4618164630901457,1.2050411915754282,0.6633524970864682,0.41701680184090323,0.4618164630901457,1.2050411915754282,0.6633524970864682,0.41701680184090323,0.4618164630901457,1.2050411915754282,2.28354959968209,2.1997479352717657,1.8349935864621254,4.084573941817304,1.9893378295367383,1.7738612720786149,1.0600986383817197,3.3730947481079983,2.2282413639974354,1.7234748532139526,1.4431764797512712,11.425964529200373,1.0974290252999361,0.7725307853779193,0.7571722941266632,1.6876958336362662,1.4803689991615927,1.2262109014669207,1.8196313574227414,1.3179442229458966,1.1477272189362158,1.5190197705239399,1.3304133135196472,1.262691031661952,1.5190197705239399,1.3304133135196472,1.1477272189362158,1.5190197705239399,1.3304133135196472,0.7868539714138874,0.7865894348708743,0.6425615203295473,0.9303898655958311,0.7865894348708743,0.6425615203295473
W kernel support pred1 [uv-pixels],0.9097593449964094,3.7408644288129,1.0103316465785206,2.028201085869449,0.8343458634080673,4.4409882488903625,1.4680450343841471,0.7016538098223439,0.7770564175771298,2.0284875580509714,1.1163098696023976,0.7016538098223439,0.7770564175771298,2.0284875580509714,1.1163098696023976,0.7016538098223439,0.7770564175771298,2.0284875580509714,3.0974804132232605,2.9837539011361645,2.4887903986834092,5.542411425545174,2.6982237218791902,2.40584200847538,1.4375175381143135,4.576393344283211,3.02242169537022,2.337475874120718,1.9571823889062967,15.520582835041425,1.4881541550537494,1.0474784794321845,1.0266487884982904,2.2889304295259003,2.0076406130395674,1.6628464183479914,2.4679457167604464,1.7872886242439072,1.5563822863820511,2.0600780529503204,1.8042041451732365,1.7123334744291947,2.0600780529503204,1.8042041451732365,1.5563822863820511,2.0600780529503204,1.8042041451732365,1.0669042076732007,1.0665454303745991,0.8712153441973449,1.2615817558801172,1.0665454303745991,0.8712153441973449
W kernel support pred2 [uv-pixels],1.5311909774106711,6.3035454930087536,1.2540080674835359,2.5178215366085275,1.0355396162168746,5.5148722679760915,2.4715271129361702,1.1807921319525485,1.307743576490919,3.415909859801908,1.8790380082165352,1.1807921319525485,1.307743576490919,3.415909859801908,1.8790380082165352,1.1807921319525485,1.307743576490919,3.415909859801908,3.8458307021944336,3.70457025255296,3.0898160628588105,6.883505032712752,3.349927552395199,2.986799653741158,1.7843676811969342,5.683111635827314,3.752599366919025,2.9018950162863186,2.429631146068074,19.293321354644668,1.8472385888565057,1.3001237399446817,1.2742647981505846,2.8416067793898705,2.492289554348586,2.064145199238097,3.063928152022114,2.218665314911715,1.9319527481408514,2.5574066045636474,2.2396697554660867,2.1255927322298143,2.5574066045636474,2.2396697554660867,1.9319527481408514,2.5574066045636474,2.2396697554660867,1.3242398965637814,1.3237944895073135,1.08130822979348,1.5659314768584602,1.3237944895073135,1.08130822979348
W kernel support pred3 [uv-pixels],2.577912498755105,10.630174745339474,1.7005545414074494,3.4154270377637244,1.4042050628729124,7.485016216423107,4.162723978767796,1.9876439242646486,2.201482272833584,5.755334752897994,3.164039824742404,1.9876439242646486,2.201482272833584,5.755334752897994,3.164039824742404,1.9876439242646486,2.201482272833584,5.755334752897994,5.218232091736976,5.026431466395519,4.1918284525149625,9.344559216979036,4.544941417873297,4.051987306283135,2.420097660796604,7.713565632370901,5.0916435179789055,3.9367358233051255,3.2957346557237037,26.23025025270278,2.505405471916936,1.763113585650134,1.7280340155350984,3.8549011802416713,3.3807745376335183,2.799736046948481,4.156686081470329,3.009426208460795,2.6203551031165646,3.469153270430119,3.0379310229838326,2.8831214387221373,3.469153270430119,3.0379310229838326,2.6203551031165646,3.469153270430119,3.0379310229838326,1.795829299603258,1.7952250621239787,1.4662870733002604,2.123724228664498,1.7952250621239787,1.4662870733002604
W kernel support pred4 [uv-pixels],5.842695255920037,17.946303606398036,2.496481621834252,5.016352011285364,2.061230462903399,11.002967168011416,7.015387062886702,3.3931289804716123,6.247242415976737,9.70415669147164,5.330491183521604,3.3931289804716123,6.247242415976737,9.70415669147164,5.330491183521604,3.3931289804716123,6.247242415976737,9.70415669147164,7.667344245157828,7.385221356977304,6.157815898920486,13.741069221496412,6.677074249560401,5.952196272412812,3.553553739743251,11.339415798937853,,,,,3.678902413304805,2.588371385496278,2.53684444225039,5.662423490576277,4.965414176355582,4.11141965792849,5.161644582223105,3.7364576769955016,3.847813539876216,5.09532891476284,4.461486761011056,4.233964259728249,5.09532891476284,4.461486761011056,3.847813539876216,5.09532891476284,4.461486761011056,2.636426994757622,2.635539432319634,2.152405094409684,3.118110370335363,2.635539432319634,2.152405094409684
W kernel support pred5 [uv-pixels],,,3.2152110599967214,6.463016574334786,2.6544453661436505,14.185977559291924,,,,,,,,,,,,,9.881812367191772,9.517891743139959,7.934852121283971,17.720932258771935,,,,,,,,,4.7389526380150935,3.333608422348519,3.267217030980006,7.296034977039095,6.397344436772639,5.296437104718398,,,4.956660225358097,6.564839851913872,5.747691623326463,5.4543991480559075,6.564839851913872,5.747691623326463,4.956660225358097,6.564839851913872,5.747691623326463,3.3955279454074483,3.394384315993287,2.771906242540151,4.016221079899876,3.394384315993287,2.771906242540151
W kernel support pred6 [uv-pixels],,,4.517482783646845,9.086427298747132,3.729112785438454,19.966796839617505,,,,,,,,,,,,,10.92938234762002,10.526727538081067,8.775311339357419,19.605022209458784,,,,,,,,,6.660467967800497,4.683956271812609,4.5906052896972644,9.547238136860917,8.37028048157661,6.928807847854892,,,6.966738450848622,9.229742616725936,8.079731252457496,7.667033512572462,9.229742616725936,8.079731252457496,6.966738450848622,9.229742616725936,8.079731252457496,4.771021490974722,4.76941341295808,3.8942350291315284,5.643883853198721,4.76941341295808,3.8942350291315284
W kernel support pred7 [uv-pixels],,,5.705663625498334,11.482231856346758,4.7094424306310785,25.25489660062869,,,,,,,,,,,,,,,,,,,,,,,,,8.414458081415233,5.91604903622873,5.798073275629031,,,,,,8.801683527601119,11.663502410975955,10.209046951437216,9.687164431897708,11.663502410975955,10.209046951437216,8.801683527601119,11.663502410975955,10.209046951437216,6.026083013963393,6.024050689211673,4.918084233130914,7.129324308335254,6.024050689211673,4.918084233130914
W kernel support pred8 [uv-pixels],,,6.545578069825498,13.176986077763946,5.402329451598248,29.00027798834729,,,,,,,,,,,,,,,,,,,,,,,,,9.654771319889848,6.787029731321173,6.651632562809962,,,,,,10.09930314816786,13.385138923639753,11.71508102831212,11.115889294661422,13.385138923639753,11.71508102831212,10.09930314816786,13.385138923639753,11.71508102831212,6.9133139397310615,6.910981459867499,5.641752756532253,8.179568225603491,6.910981459867499,5.641752756532253
W kernel support pred9 [uv-pixels],,,7.61412887529869,15.334403857387514,6.283718265583415,33.77336870342318,,,,,,,,,,,,,,,,,,,,,,,,,11.233202203866426,7.895131912588033,7.73755482319602,,,,,,11.750729984271375,15.57681523989972,15.57681477972805,12.934333746977014,15.57681523989972,15.57681477972805,11.750729984271375,15.57681523989972,15.57681477972805,8.042105433243016,8.039390800727,6.56232237910828,9.515927237313123,8.039390800727,6.56232237910828
W kernel support pred10 [uv-pixels],,,9.795680669478822,17.399005041832453,7.126536786283086,38.34630504085756,,,,,,,,,,,,,,,,,,,,,,,,,12.743243772170052,8.954910778308403,8.776105486728502,,,,,,13.330671901314714,20.055837320281416,20.055837320281416,14.674228148419687,20.055837320281416,20.055837320281416,13.330671901314714,20.055837320281416,20.055837320281416,9.121686316317746,9.118605916355712,7.442632139723829,10.794197830528095,9.118605916355712,7.442632139723829
W kernel support pred11 [uv-pixels],,,12.15747220194383,19.388579060750455,7.9381540423553245,42.75762878978178,,,,,,,,,,,,,,,,,,,,,,,,,14.197986479162166,9.975604740656625,9.776340460094016,,,,,,14.85281427629912,24.91120763520158,24.91120763520158,16.350616303800972,24.91120763520158,24.91120763520158,14.85281427629912,24.91120763520158,24.91120763520158,10.161465169013239,10.15803224426688,8.290374765431777,12.025492054530286,10.15803224426688,8.290374765431777
AW kernel support pred0 [uv-pixels],10.014604720907055,10.243733848997842,10.02772332504188,10.111211184286168,10.018916383990758,10.522112697087598,10.037969733623218,10.008691373652082,10.010658042585467,10.072344527139327,10.021977675857737,10.008691373652082,10.010658042585467,10.072344527139327,10.021977675857737,10.008691373652082,10.010658042585467,10.072344527139327,10.257416769060729,10.23908643281872,10.166966187725674,10.802025008588572,10.195953363958955,10.156110663663544,10.056033468674356,10.553566609431797,10.245245705995984,10.14743147647033,10.103601256567249,15.183960794948895,10.060037299412501,10.029795801229287,10.028624525975285,10.141415937968091,10.108980778183263,10.074899164501664,10.164204753787486,10.086474952866164,10.065648402814746,10.114713098414734,10.088111794820195,10.079404180874954,10.114713098414734,10.088111794820195,10.065648402814746,10.114713098414734,10.088111794820195,10.030909189716045,10.030888442159572,10.020622999964035,10.043188004911759,10.030888442159572,10.020622999964035
AW kernel support pred1 [uv-pixels],10.041297827761523,10.676800395004005,10.050908915917907,10.203607187888116,10.034746285770565,10.941772097187105,10.107183397118108,10.02458568065724,10.030145396558208,10.20366413467082,10.062114475843122,10.02458568065724,10.030145396558208,10.20366413467082,10.062114475843122,10.02458568065724,10.030145396558208,10.20366413467082,10.46873368227035,10.43564982847476,10.305051074525478,11.433211465288906,10.357625753680793,10.285333041265355,10.102794498176543,10.997425882523585,10.44677141056722,10.269556634154,10.1897283037108,18.463165804904165,10.110123777145548,10.05471089414676,10.052562247254428,10.258616013440099,10.19954022645756,10.137310205918173,10.300036701918893,10.158464481719257,10.12039158438861,10.20999126269203,10.161454256033448,10.145545127180242,10.20999126269203,10.161454256033448,10.12039158438861,10.20999126269203,10.161454256033448,10.056753183227219,10.056715127468458,10.037879067610094,10.079265277130549,10.056715127468458,10.037879067610094
AW kernel support pred2 [uv-pixels],10.116548117283081,11.820942677402297,10.078320109686624,10.312100915439576,10.053474140651806,11.419886870371867,10.300895411078525,10.069472183728452,10.085147161140151,10.56732890423554,10.175007805221693,10.069472183728452,10.085147161140151,10.56732890423554,10.175007805221693,10.069472183728452,10.085147161140151,10.56732890423554,10.714028830927298,10.664138069065887,10.46646852105811,12.140125268520988,10.546184836531951,10.436521076086049,10.15795097555113,11.502076241499871,10.680917657607939,10.412540260932841,10.290923549708454,21.730905385960977,10.16918336958089,10.084161925473419,10.08086061682264,10.395899628636016,10.305896720941613,10.210812671062852,10.458855373354853,10.243167272850341,10.184912440519506,10.321837459535283,10.24773734116705,10.223411586320303,10.321837459535283,10.24773734116705,10.184912440519506,10.321837459535283,10.24773734116705,10.087299505003866,10.087241042547259,10.05829147956148,10.121864521431618,10.087241042547259,10.05829147956148
AW kernel support pred3 [uv-pixels],10.326937244470782,14.594540592853656,10.143563759759264,10.56717284093941,10.098108330702237,12.4910154815418,10.831817526316089,10.19562300056579,10.239459175054145,11.53793214219582,10.488619928882729,10.19562300056579,10.239459175054145,11.53793214219582,10.488619928882729,10.19562300056579,10.239459175054145,11.53793214219582,11.279625266968475,11.192185366869644,10.84303581914742,13.686518438216048,10.984374924951357,10.789745183751082,10.288676916289733,12.629295101663176,11.221623488345019,10.746994414369716,10.529096206272325,28.0718013016517,10.309076417347548,10.154238992455518,10.148206814942547,10.717288048262427,10.556023705653145,10.384532822066802,10.829498565487192,10.443019012918185,10.337613886503453,10.584659862921244,10.451269056933114,10.407323826537695,10.584659862921244,10.451269056933114,10.337613886503453,10.584659862921244,10.451269056933114,10.159970613801672,10.159863828992888,10.106928206993826,10.223023261218602,10.159863828992888,10.106928206993826
AW kernel support pred4 [uv-pixels],11.581756682539593,20.544337738973606,10.306911297190647,11.18766228937604,10.210223847751868,14.868264407802855,12.215386021003106,10.5599869449785,11.791015130343055,13.934513163100958,11.331996128555707,10.5599869449785,11.791015130343055,13.934513163100958,11.331996128555707,10.5599869449785,11.791015130343055,13.934513163100958,12.601117719224549,12.431471935839042,11.743879114032037,16.994616304875965,12.024280458062453,11.63738116868761,10.612621927744494,15.118940130220814,,,,,10.655248611206588,10.329553060479235,10.316762075582469,11.491868420175635,11.164915491966473,10.812204752204835,11.253558316958825,10.67525718528498,10.71474073590466,11.223296162430103,10.950107950092406,10.859394704708738,11.223296162430103,10.950107950092406,10.71474073590466,11.223296162430103,10.950107950092406,10.341699439583744,10.341473207397083,10.229019879267064,10.474856193838315,10.341473207397083,10.229019879267064
AW kernel support pred5 [uv-pixels],,,10.504169751119088,11.906745283247062,10.34630756365968,17.356323323582505,,,,,,,,,,,,,14.058812740071058,13.805443246565169,12.765652282067093,20.34776253350682,,,,,,,,,11.066059466013646,10.541012527909878,10.52020470939258,12.378696473626691,11.871226383264109,11.316017232411667,,,11.161025068946264,11.962320940406029,11.534121509541036,11.390806383496868,11.962320940406029,11.534121509541036,11.161025068946264,11.962320940406029,11.534121509541036,10.560758023363801,10.560390375580877,10.377064335226656,10.776364496555976,10.560390375580877,10.377064335226656
AW kernel support pred6 [uv-pixels],,,10.973041998486366,13.511593579419753,10.672688610023275,22.33098690238655,,,,,,,,,,,,,14.813892078062002,14.519366124627972,13.304363536173193,22.00810977420306,,,,,,,,,12.01506693906016,11.042619542312082,11.003347532719145,13.825691882937777,13.040766669957039,12.165869397313763,,,12.187511831482777,13.608385237455872,12.856206948860864,12.600928651607754,13.608385237455872,12.856206948860864,12.187511831482777,13.608385237455872,12.856206948860864,11.079830597411798,11.079138247341461,10.731498798495718,11.482744660942227,11.079138247341461,10.731498798495718
AW kernel support pred7 [uv-pixels],,,11.513235748795157,15.226347178588314,11.0534541211075,27.16265455194773,,,,,,,,,,,,,,,,,,,,,,,,,13.069166186252822,11.618934383112029,11.559310260978531,,,,,,13.32177288952356,15.363505084805418,14.2907186543102,13.922684896621915,15.363505084805418,14.2907186543102,13.32177288952356,15.363505084805418,14.2907186543102,11.67534481251745,11.674295983321292,11.143946900634932,12.2811752325834,11.674295983321292,11.143946900634932
